"date","yuan_rolling_vol","rupee_rolling_vol","yen_rolling_vol","franc_rolling_vol","euro_rolling_vol","pound_rolling_vol"
1999-08-17,2.7767422723606e-05,0.0016027701578776,0.00540354338776939,0.00641447985784159,0.00633549879824155,0.00475910834850608
1999-08-18,2.81067586309459e-05,0.00159085612165008,0.00594469453715779,0.00639139713014676,0.00632647508278493,0.00464264607204131
1999-08-19,2.83208771085653e-05,0.00158601407084878,0.00599151712805157,0.00674848539797425,0.00666501079513036,0.00496751668387931
1999-08-20,2.69864042037423e-05,0.00144009531798392,0.00608354152422679,0.00670043109040202,0.00664745950034272,0.00493193785165307
1999-08-23,2.72431820838097e-05,0.00144780798754449,0.00616412987161242,0.00700187211452841,0.00685989956367862,0.00500124461763173
1999-08-24,2.80203265363158e-05,0.00151299115162703,0.00612292808417535,0.00713729744949607,0.00692517028352019,0.00527645750949684
1999-08-25,2.74915129945016e-05,0.00158140926014458,0.00608146809639741,0.00719888342320663,0.00697198674302375,0.00533706394791998
1999-08-26,2.67210254893967e-05,0.00152478163740796,0.00627009231738851,0.0072122660556456,0.00698938103115313,0.00533042861355659
1999-08-27,2.63543704923692e-05,0.00148824369672931,0.00615212588594853,0.00719451026521017,0.00697743676809759,0.00529616792516246
1999-08-30,2.6721043086822e-05,0.00141718791576069,0.00571602770427169,0.00721280204478225,0.00698822858879655,0.00530059901006284
1999-08-31,2.51192037726081e-05,0.00141975970054586,0.00628091092842657,0.00653689775800049,0.00630040278087793,0.00574625814443232
1999-09-01,2.37283236026416e-05,0.00137613003869057,0.00628202854164801,0.00634262472441686,0.00603330554082183,0.00577245317822307
1999-09-02,2.41627150623318e-05,0.00138761661556302,0.00619395339210888,0.00675134269601139,0.00628504639681578,0.00576948342999733
1999-09-03,2.44422850322334e-05,0.00135591487948426,0.00640855040870923,0.00698014172412358,0.0064663967060571,0.00578068186279852
1999-09-07,2.40373752164161e-05,0.00135526289213858,0.00661243316800729,0.00644741979722156,0.00589468618886714,0.00561762823628471
1999-09-08,2.40373752164161e-05,0.00126943998292951,0.00661421035720296,0.00644755412446288,0.00588496109386543,0.00578327437478398
1999-09-09,2.45210435638668e-05,0.00122595552859822,0.00811101502291468,0.00647067102964684,0.00592759671219471,0.00597720925303907
1999-09-10,2.36325989074108e-05,0.00116849058808352,0.00829750522967247,0.00699163345315022,0.00622543392759671,0.00584858426988448
1999-09-13,2.39394112693368e-05,0.00117171040620178,0.00940319931225252,0.00700194878024413,0.0062218875841624,0.00587548162017307
